aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product;timeout_product_unoptimiesed;memout_product_unoptimiesed;states_product_unoptimiesed;time_product_unoptimiesed;acc_product_unoptimiesed;timeout_me1;memout_me1;states_me1;time_me1;acc_me1;timeout_me2;memout_me2;states_me2;time_me2;acc_me2;timeout_me3;memout_me3;states_me3;time_me3;acc_me3;timeout_limited;memout_limited;states_limited;time_limited;acc_limited
temp_hoas/benchmarkE/automatonD302.hoa;4;False;False;160;0.003392;9;False;False;392;0.032779;2;False;False;12619;0.043297;24;False;False;11206;0.474869;28;False;False;17249;0.880153;12;False;False;39516;2.46722;8;False;False;1071;0.039193;21
temp_hoas/benchmarkE/automatonD228.hoa;10;False;False;37;0.002627;2;False;False;36;0.004026;2;False;False;45;0.003817;8;False;False;37;0.0033;2;False;False;36;0.004112;2;False;False;37;0.002353;2;False;False;36;0.003954;2
temp_hoas/benchmarkE/automatonC272.hoa;14;False;False;12657;0.290305;7;False;False;113329;1.17986;8;False;False;113329;0.514039;9;False;False;166818;5.39027;7;False;False;207452;7.12221;13;False;False;5266254;216.879;15;False;False;2976;0.242186;11
temp_hoas/benchmarkE/automatonD153.hoa;15;False;False;1123033;31.3363;32;False;False;29935;0.226483;26;False;False;29935;0.138704;34;False;False;225606;9.46056;30;False;False;276720;12.0445;26;False;False;179963;5.12851;32;False;False;5717;0.150473;29
temp_hoas/benchmarkE/automatonA73.hoa;15;False;False;1642882;38.9198;14;False;False;166560;1.87194;20;False;False;166560;0.692851;26;False;False;1872585;57.4357;14;False;False;2475895;81.2596;18;False;False;1642882;38.9766;14;False;False;15855;0.507511;23
temp_hoas/benchmarkE/automatonD165.hoa;7;False;False;3;0.003614;1;False;False;3;0.304568;1;False;False;272613;1.1576;51;False;False;3;0.012154;2;False;False;3;0.011883;2;False;False;3;0.006025;1;False;False;3;0.286623;1
temp_hoas/benchmarkE/automatonA49.hoa;11;False;False;2492250;66.9034;25;False;False;555508;5.31011;34;False;False;555508;3.5129;44;False;False;3711972;144.119;28;False;False;4069460;164.196;28;False;False;9202047;395.616;32;False;False;31003;1.56248;38
temp_hoas/benchmarkE/automatonC312.hoa;14;False;False;691;0.025339;11;False;False;144;0.01568;8;False;False;256;0.013156;12;False;False;785;0.051234;11;False;False;888;0.051497;11;False;False;4548;0.153339;18;False;False;178;0.01392;16
temp_hoas/benchmarkE/automatonA241.hoa;3;False;False;1572;0.021837;4;False;False;581;0.011832;8;False;False;581;0.009134;14;False;False;1582;0.027059;4;False;False;1582;0.026941;4;False;False;1572;0.021942;4;False;False;429;0.011248;10
temp_hoas/benchmarkE/automatonC296.hoa;18;False;False;2013;0.057281;16;False;False;203;0.017946;10;False;False;358;0.015631;14;False;False;2392;0.11256;16;False;False;2788;0.12622;16;False;False;2708;0.075444;16;False;False;212;0.016799;18
temp_hoas/benchmarkE/automatonC253.hoa;15;False;False;50;0.004615;4;False;False;51;0.006999;8;False;False;51;0.006328;10;False;False;47;0.008821;4;False;False;51;0.007952;4;False;False;50;0.004582;4;False;False;91;0.006754;12
temp_hoas/benchmarkE/automatonC171.hoa;13;False;False;66;0.005134;4;False;False;47;0.006911;6;False;False;47;0.006307;8;False;False;63;0.009052;4;False;False;69;0.008924;4;False;False;66;0.005338;4;False;False;61;0.006672;9
temp_hoas/benchmarkE/automatonA153.hoa;15;False;False;220;0.006376;4;False;False;161;0.007965;8;False;False;161;0.008208;12;False;False;212;0.011082;4;False;False;255;0.010048;6;False;False;220;0.006613;4;False;False;211;0.008206;11
temp_hoas/benchmarkE/automatonC280.hoa;2;False;False;30;0.00358;3;False;False;31;0.004844;3;False;False;31;0.004634;4;False;False;28;0.004426;3;False;False;30;0.004685;3;False;False;60;0.005092;4;False;False;46;0.004974;5
temp_hoas/benchmarkE/automatonA302.hoa;4;False;False;4710;0.104546;7;False;False;1227;0.026371;13;False;False;1227;0.018459;15;False;False;3236;0.079769;8;False;False;13048;0.432733;8;False;False;18474;0.505498;6;False;False;891;0.024429;17
temp_hoas/benchmarkE/automatonA21.hoa;3;False;False;1962;0.031806;7;False;False;1269;0.023511;11;False;False;1269;0.016866;13;False;False;1962;0.040753;7;False;False;3361;0.089392;7;False;False;9486;0.216074;8;False;False;1001;0.023257;14
temp_hoas/benchmarkE/automatonD236.hoa;18;True;False;-1;-1;-1;False;False;6399;0.075324;23;False;False;49381;0.16074;39;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;False;1842;0.071895;46
