aut;old_acc;timeout_limited;memout_limited;states_limited;time_limited;acc_limited;timeout_product;memout_product;states_product;time_product;acc_product
temp_hoas/benchmarkF/automaton1016.hoa;18;False;False;62049;3.07439;77;False;False;1833598;13.826;55
temp_hoas/benchmarkF/automaton1828.hoa;30;False;False;49913;4.51347;158;False;False;10677;3.55173;26
temp_hoas/benchmarkF/automaton1193.hoa;35;False;False;839179;112.359;108;False;False;11426;76.8171;17
temp_hoas/benchmarkF/automaton32.hoa;34;False;False;140134;9.6038;66;False;False;38412;15.1792;16
temp_hoas/benchmarkF/automaton1288.hoa;10;False;False;11512;0.652554;30;False;False;10421;0.696671;18
temp_hoas/benchmarkF/automaton411.hoa;13;False;False;26617;1.09663;32;False;False;129336;1.33577;26
temp_hoas/benchmarkF/automaton266.hoa;28;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkF/automaton1598.hoa;40;False;False;168882;12.3906;112;False;False;1515651;18.456;60
temp_hoas/benchmarkF/automaton1415.hoa;17;False;False;69524;3.21707;28;False;False;69311;2.93568;18
temp_hoas/benchmarkF/automaton1045.hoa;7;False;False;3;0.012857;1;False;False;3;0.011038;1
temp_hoas/benchmarkF/automaton1849.hoa;11;False;False;182;0.01209;4;False;False;181;0.012339;4
temp_hoas/benchmarkF/automaton1704.hoa;26;False;False;2132;0.07149;47;False;False;1056;0.067008;12
temp_hoas/benchmarkF/automaton336.hoa;18;False;False;18235;0.799675;32;False;False;47958;0.837197;28
temp_hoas/benchmarkF/automaton29.hoa;31;False;False;184209;22.0503;72;False;True;-1;-1;-1
temp_hoas/benchmarkF/automaton832.hoa;34;False;False;5906;0.301043;70;False;False;14744;0.782391;31
temp_hoas/benchmarkF/automaton1740.hoa;22;False;False;650847;68.8499;98;False;True;-1;-1;-1
temp_hoas/benchmarkF/automaton975.hoa;17;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkF/automaton366.hoa;8;False;False;8806;0.384262;36;False;False;1267;0.31231;9
temp_hoas/benchmarkF/automaton738.hoa;20;False;False;227109;22.6055;103;False;False;1247948;1399.93;62
temp_hoas/benchmarkF/automaton753.hoa;35;False;False;529085;93.1009;140;False;True;-1;-1;-1
temp_hoas/benchmarkF/automaton1120.hoa;2;False;False;5;0.010705;1;False;False;5;0.011417;1
temp_hoas/benchmarkF/automaton1313.hoa;35;False;False;162284;13.4366;77;False;False;29722;11.3609;16
temp_hoas/benchmarkF/automaton279.hoa;41;False;False;40688;2.66203;94;False;False;223293;3.20163;56
temp_hoas/benchmarkF/automaton1564.hoa;6;False;False;847;0.324959;13;False;False;847;0.3643;13
temp_hoas/benchmarkF/automaton1913.hoa;35;False;False;5583;0.208432;59;False;False;18843;0.242107;44
temp_hoas/benchmarkF/automaton1605.hoa;7;False;False;237;0.079335;2;False;False;237;0.086178;2
temp_hoas/benchmarkF/automaton10.hoa;12;False;False;73;0.829451;2;False;False;73;0.890123;2
temp_hoas/benchmarkF/automaton545.hoa;27;False;False;3460515;349.001;112;False;False;24104;1384.01;26
temp_hoas/benchmarkF/automaton588.hoa;30;False;False;2080296;292.986;118;True;False;-1;-1;-1
temp_hoas/benchmarkF/automaton629.hoa;31;False;False;18363;1.24473;116;False;False;1050;0.794975;9
temp_hoas/benchmarkF/automaton177.hoa;19;False;False;28907;1.87509;26;False;False;28580;1.85964;16
temp_hoas/benchmarkF/automaton642.hoa;4;False;False;910;0.184217;12;False;False;910;0.206124;12
temp_hoas/benchmarkF/automaton268.hoa;30;False;False;140593;14.8403;132;False;False;10824;21.6669;13
temp_hoas/benchmarkF/automaton1291.hoa;13;False;False;4;0.68257;1;False;False;4;0.712432;1
temp_hoas/benchmarkF/automaton718.hoa;40;False;False;87088;3.69513;55;False;False;98500;2.95079;46
temp_hoas/benchmarkF/automaton1426.hoa;28;False;False;152119;18.0261;121;False;False;14794;12.4335;11
temp_hoas/benchmarkF/automaton12.hoa;14;False;False;47396;3.31224;64;False;False;32202;5.46562;30
temp_hoas/benchmarkF/automaton1900.hoa;22;False;False;90591;5.4084;66;False;False;39458;42.1271;17
temp_hoas/benchmarkF/automaton1287.hoa;9;False;False;2078;0.071102;16;False;False;2078;0.063318;16
